cin,company_name,industry_sector,segment,net_worth,persistent_loss,or,pli,emp_cost_pct,rpt_pct,export_income_pct,service_income_pct,gross_intbl_pct,fy
U63090TN1995PLC033513,Shriram Value Services Ltd.,ITES,ITES,604.88,0,296.34,4079.69,25.528913963328726,97.45,0.0,100.0,0.0,2021-22
U72900PN2014PTC152592,Advanced Risk Analytics Pvt. Ltd.,ITES,ITES,34.42,0,14.26,883.45,84.13793103448279,10.9,99.50911640953717,99.50911640953717,0.07012622720897616,2021-22
U72200KA2014PTC077244,Fonepaisa Payment Solutions Pvt. Ltd.,Computer software,SDS,18.69,0,38.91,782.31,46.48526077097509,2.29,0.0,100.0,0.0,2021-22
U74210WB2006PTC110217,Agrawal & Agrawal Environmental Engg. Pvt. Ltd.,Business services & consultancy,ITES,8.87,0,3.98,552.46,14.75409836065574,43.0,0.0,100.0,0.0,2021-22
U73100DL2004PLC131109,P I Life Science Research Ltd.,Business services & consultancy,ITES,34.25,0,5.66,332.06,33.58778625954197,86.52,0.0,100.0,0.0,2021-22
U74140DL2008GOI175858,P F C Consulting Ltd.,Business services & consultancy,ITES,110.59,0,85.16,123.58,35.10107639800473,40.51,0.0,99.97651479567872,0.37576326914044156,2021-22
U72200DL2001PLC112131,Infoaxon Technologies Ltd.,Computer software,SDS,6.21,0,1.55,187.04,0.0,0.0,0.0,100.0,0.0,2021-22
U74140KA2005PTC036309,Musigma Business Solutions Pvt. Ltd.,Computer software,SDS,3555.17,0,696.09,258.9,79.19566898685227,0.0,93.50084040856785,93.50084040856785,10.735680730939965,2021-22
U93090MH2006PLC164885,C D S L Ventures Ltd.,Business services & consultancy,ITES,258.54,0,137.28,218.81,13.121226196005573,38.55,0.0,98.28817016317016,3.4892191142191145,2021-22
U74999MH2019PTC329951,Sagacious I P Pvt. Ltd.,Business services & consultancy,ITES,5.27,0,5.33,206.32,83.90804597701148,97.25,99.43714821763602,99.43714821763602,0.0,2021-22
U70102TG2007PLC052362,Nava Bharat Projects Ltd.,Business services & consultancy,ITES,284.74,0,10.09,156.09,58.88324873096447,51.72,0.0,100.0,0.0,2021-22
U72300WB2014PTC204376,Cloudkaptan Consultancy Services Pvt. Ltd.,Computer software,SDS,56.75,0,58.36,110.53,91.12554112554113,0.0,99.36600411240576,99.36600411240576,0.034270047978067174,2021-22
U72200MH2006PTC166211,Greeksoft Technologies Pvt. Ltd.,Computer software,SDS,70.87,0,41.63,119.92,61.80665610142629,6.23,0.0,100.0,4.3478260869565215,2021-22
U74899DL1982PLC014495,I E C S Consultancy Ltd.,ITES,ITES,1.57,0,2.61,100.77,9.230769230769232,0.0,100.0,100.0,0.0,2021-22
U72900MH2000PLC126952,N S E Data & Analytics Ltd.,Business services & consultancy,ITES,338.4,0,167.24,144.61,12.417727073277753,68.54,64.50011958861516,98.88782587897632,17.47787610619469,2021-22
